date,Mkt-RF,SMB,HML,RF
2022-12-31,-6.38,-0.76,1.34,0.33
2023-01-31,6.61,5.01,-3.94,0.35
2023-02-28,-2.57,1.05,-0.8,0.34
2023-03-31,2.48,-5.48,-9.05,0.36
2023-04-30,0.62,-3.37,-0.12,0.35
2023-05-31,0.34,1.6,-7.79,0.36
2023-06-30,6.46,1.49,-0.13,0.4
2023-07-31,3.21,2.05,4.06,0.45
2023-08-31,-2.36,-3.14,-1.15,0.45
2023-09-30,-5.23,-2.51,1.49,0.43
2023-10-31,-3.15,-3.86,0.2,0.47
2023-11-30,8.88,-0.1,1.67,0.44
2023-12-31,4.85,6.3,4.89,0.43
2024-01-31,0.73,-5.07,-2.38,0.47
2024-02-29,5.07,-0.24,-3.43,0.42
2024-03-31,2.84,-2.5,4.16,0.43
2024-04-30,-4.65,-2.37,-0.45,0.47
2024-05-31,4.33,0.55,-1.31,0.44
2024-06-30,2.8,-3,-3.36,0.41
2024-07-31,1.22,6.81,5.62,0.45
2024-08-31,1.6,-3.49,-1.1,0.48
2024-09-30,1.72,-0.13,-2.76,0.4
2024-10-31,-1,-0.99,0.86,0.39
2024-11-30,6.49,4.46,0.16,0.4
2024-12-31,-3.17,-2.71,-3,0.37
2025-01-31,2.8,-1.97,1.63,0.37
2025-02-28,-2.44,-5.79,4.91,0.33
2025-03-31,-6.39,-2.76,2.9,0.34
2025-04-30,-0.84,-0.59,-3.41,0.35
2025-05-31,6.06,0.7,-2.88,0.38
2025-06-30,4.86,0.83,-1.61,0.34
2025-07-31,1.98,0.27,-1.27,0.34
2025-08-31,1.84,3.87,4.42,0.38
2025-09-30,3.39,-1.85,-1.05,0.33
2025-10-31,1.96,-0.55,-3.1,0.37
2025-11-30,-0.13,0.38,3.76,0.3
2025-12-31,-0.36,-1.06,2.42,0.34
2026-01-31,1.02,2.2,3.72,0.3
2026-02-28,-1.17,0.14,2.83,0.28
